id,type,url,method,param,payload,evidence,severity,risk_score,risk_level,is_false_positive
219,idor,https://testsite.org/settings,POST,account_id,162,Unauthorized access to resource account_id=162,medium,4.1,medium,False
220,file_inclusion,https://testsite.org/cart,DELETE,exec,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,high,7.9,high,True
221,sql_injection,https://testsite.org/settings,GET,product_id,' OR 1=1 --,SQL error in response: You have an error in your SQL syntax near '' OR 1=1 --',critical,7.7,high,True
222,xss,https://vulnerableapp.net/product,PUT,message,<img src=x onerror=alert(1)>,Payload <img src=x onerror=alert(1)> reflected in response,medium,4.2,medium,True
223,command_injection,https://webapp.com/checkout,GET,path,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,high,7.4,high,False
224,sql_injection,https://example.com/settings,DELETE,product_id,' OR 1=1 --,SQL error in response: You have an error in your SQL syntax near '' OR 1=1 --',medium,5.8,medium,False
225,sql_injection,https://webapp.com/search,POST,id,' OR 1=1 --,SQL error in response: You have an error in your SQL syntax near '' OR 1=1 --',medium,6.6,high,True
226,xss,https://example.com/product,GET,name,<img src=x onerror=alert(1)>,Payload <img src=x onerror=alert(1)> reflected in response,critical,10.0,critical,False
227,csrf,https://securitytesting.io/admin,GET,,,No CSRF token found in form submission,low,1.8,info,False
228,idor,https://example.com/api/products,PUT,account_id,349,Unauthorized access to resource account_id=349,info,1.6,info,True
229,file_inclusion,https://vulnerableapp.net/product,PUT,file,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,high,6.4,high,True
230,csrf,https://testsite.org/admin,GET,,,No CSRF token found in form submission,medium,5.5,medium,True
231,xss,https://example.com/register,POST,comment,"""><script>alert(1)</script>","Payload ""><script>alert(1)</script> reflected in response",medium,4.4,medium,False
232,xss,https://securitytesting.io/user,PUT,message,<img src=x onerror=alert(1)>,Payload <img src=x onerror=alert(1)> reflected in response,low,3.3,low,False
233,file_inclusion,https://testsite.org/admin,POST,url,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,medium,5.4,medium,False
234,idor,https://testsite.org/product,DELETE,user_id,594,Unauthorized access to resource user_id=594,medium,4.8,medium,False
235,file_inclusion,https://testsite.org/checkout,POST,file,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,high,6.0,high,False
236,idor,https://example.com/login,POST,account_id,349,Unauthorized access to resource account_id=349,low,2.5,low,False
237,csrf,https://webapp.com/settings,GET,,,No CSRF token found in form submission,high,7.6,high,False
238,sql_injection,https://webapp.com/checkout,POST,category_id,' OR 1=1 --,SQL error in response: You have an error in your SQL syntax near '' OR 1=1 --',critical,9.2,critical,False
239,xss,https://webapp.com/login,GET,comment,<script>alert(1)</script>,Payload <script>alert(1)</script> reflected in response,info,2.4,low,False
240,command_injection,https://testsite.org/cart,POST,exec,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,high,7.6,high,True
241,file_inclusion,https://securitytesting.io/cart,POST,exec,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,medium,5.0,medium,False
242,csrf,https://example.com/product,GET,,,No CSRF token found in form submission,medium,5.2,medium,False
243,xss,https://testsite.org/register,DELETE,q,<script>alert(1)</script>,Payload <script>alert(1)</script> reflected in response,critical,10.0,critical,False
244,xss,https://vulnerableapp.net/api/users,POST,q,<script>alert(1)</script>,Payload <script>alert(1)</script> reflected in response,medium,6.0,high,True
245,xss,https://webapp.com/login,POST,name,"""><script>alert(1)</script>","Payload ""><script>alert(1)</script> reflected in response",info,1.2,info,False
246,csrf,https://webapp.com/cart,DELETE,,,No CSRF token found in form submission,high,8.0,critical,False
247,sql_injection,https://vulnerableapp.net/profile,DELETE,id,' OR 1=1 --,SQL error in response: You have an error in your SQL syntax near '' OR 1=1 --',high,6.9,high,False
248,xss,https://vulnerableapp.net/checkout,GET,comment,"""><script>alert(1)</script>","Payload ""><script>alert(1)</script> reflected in response",high,8.0,critical,False
249,file_inclusion,https://securitytesting.io/checkout,POST,path,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,low,4.1,medium,False
250,sql_injection,https://securitytesting.io/profile,POST,product_id,admin'--,SQL error in response: You have an error in your SQL syntax near 'admin'--',medium,4.6,medium,True
251,command_injection,https://webapp.com/settings,POST,path,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,medium,5.8,medium,False
252,command_injection,https://vulnerableapp.net/cart,PUT,exec,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,medium,4.3,medium,True
253,sql_injection,https://example.com/profile,POST,id,"' UNION SELECT 1,2,3 --","SQL error in response: You have an error in your SQL syntax near '' UNION SELECT 1,2,3 --'",low,2.7,low,False
254,idor,https://example.com/api/products,GET,doc_id,698,Unauthorized access to resource doc_id=698,medium,4.9,medium,False
255,command_injection,https://vulnerableapp.net/api/users,PUT,path,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,medium,4.3,medium,True
256,sql_injection,https://vulnerableapp.net/search,PUT,category_id,"' UNION SELECT 1,2,3 --","SQL error in response: You have an error in your SQL syntax near '' UNION SELECT 1,2,3 --'",medium,6.1,high,False
257,command_injection,https://webapp.com/settings,DELETE,cmd,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,critical,8.3,critical,True
258,csrf,https://example.com/login,POST,,,No CSRF token found in form submission,medium,3.1,low,False
259,command_injection,https://example.com/settings,DELETE,url,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,medium,5.8,medium,False
260,sql_injection,https://vulnerableapp.net/profile,DELETE,id,admin'--,SQL error in response: You have an error in your SQL syntax near 'admin'--',info,1.3,info,False
261,csrf,https://testsite.org/search,POST,,,No CSRF token found in form submission,info,0.1,info,False
262,csrf,https://vulnerableapp.net/admin,PUT,,,No CSRF token found in form submission,low,2.7,low,False
263,file_inclusion,https://example.com/api/products,DELETE,file,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,critical,8.7,critical,False
264,xss,https://example.com/checkout,PUT,name,"""><script>alert(1)</script>","Payload ""><script>alert(1)</script> reflected in response",low,3.6,low,False
265,file_inclusion,https://vulnerableapp.net/register,DELETE,exec,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,low,3.7,low,False
266,file_inclusion,https://webapp.com/register,POST,file,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,medium,4.8,medium,False
267,idor,https://testsite.org/admin,DELETE,user_id,702,Unauthorized access to resource user_id=702,high,6.7,high,False
268,xss,https://example.com/checkout,DELETE,search,<script>alert(1)</script>,Payload <script>alert(1)</script> reflected in response,high,7.1,high,False
269,sql_injection,https://securitytesting.io/api/users,POST,product_id,1' OR '1'='1,SQL error in response: You have an error in your SQL syntax near '1' OR '1'='1',medium,5.7,medium,True
270,command_injection,https://webapp.com/admin,DELETE,path,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,info,1.0,info,False
271,idor,https://example.com/login,POST,account_id,641,Unauthorized access to resource account_id=641,info,1.5,info,False
272,sql_injection,https://vulnerableapp.net/profile,DELETE,category_id,admin'--,SQL error in response: You have an error in your SQL syntax near 'admin'--',low,3.4,low,False
273,xss,https://example.com/product,POST,name,<script>alert(1)</script>,Payload <script>alert(1)</script> reflected in response,medium,4.8,medium,True
274,xss,https://webapp.com/settings,GET,search,<img src=x onerror=alert(1)>,Payload <img src=x onerror=alert(1)> reflected in response,critical,8.2,critical,False
275,command_injection,https://securitytesting.io/api/products,DELETE,path,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,medium,5.5,medium,False
276,command_injection,https://webapp.com/search,POST,cmd,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,high,6.2,high,True
277,file_inclusion,https://securitytesting.io/cart,PUT,exec,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,low,3.5,low,False
278,idor,https://vulnerableapp.net/user,DELETE,file_id,166,Unauthorized access to resource file_id=166,medium,4.9,medium,False
279,sql_injection,https://testsite.org/api/users,POST,category_id,' OR 1=1 --,SQL error in response: You have an error in your SQL syntax near '' OR 1=1 --',medium,3.8,low,False
280,idor,https://testsite.org/cart,POST,doc_id,674,Unauthorized access to resource doc_id=674,low,2.8,low,False
281,csrf,https://vulnerableapp.net/checkout,GET,,,No CSRF token found in form submission,critical,8.5,critical,True
282,sql_injection,https://example.com/search,PUT,product_id,' OR 1=1 --,SQL error in response: You have an error in your SQL syntax near '' OR 1=1 --',low,3.0,low,False
283,sql_injection,https://vulnerableapp.net/api/users,PUT,order_id,admin'--,SQL error in response: You have an error in your SQL syntax near 'admin'--',medium,3.4,low,False
284,file_inclusion,https://example.com/user,GET,exec,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,low,3.8,low,False
285,xss,https://vulnerableapp.net/admin,PUT,message,"""><script>alert(1)</script>","Payload ""><script>alert(1)</script> reflected in response",medium,5.1,medium,False
286,command_injection,https://securitytesting.io/search,GET,path,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,low,2.5,low,True
287,idor,https://vulnerableapp.net/product,POST,user_id,686,Unauthorized access to resource user_id=686,low,2.0,low,False
288,csrf,https://webapp.com/product,POST,,,No CSRF token found in form submission,critical,7.7,high,False
289,csrf,https://webapp.com/register,GET,,,No CSRF token found in form submission,info,1.3,info,False
290,sql_injection,https://example.com/api/users,PUT,product_id,admin'--,SQL error in response: You have an error in your SQL syntax near 'admin'--',medium,6.0,high,False
291,command_injection,https://vulnerableapp.net/api/users,PUT,file,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,info,0.2,info,False
292,command_injection,https://securitytesting.io/settings,PUT,path,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,info,0.1,info,False
293,sql_injection,https://securitytesting.io/login,POST,id,1' OR '1'='1,SQL error in response: You have an error in your SQL syntax near '1' OR '1'='1',medium,5.7,medium,True
294,file_inclusion,https://vulnerableapp.net/register,PUT,url,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,high,7.2,high,False
295,sql_injection,https://vulnerableapp.net/product,POST,order_id,admin'--,SQL error in response: You have an error in your SQL syntax near 'admin'--',info,0.7,info,False
296,file_inclusion,https://securitytesting.io/api/users,DELETE,exec,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,medium,5.4,medium,False
297,csrf,https://example.com/profile,DELETE,,,No CSRF token found in form submission,low,2.3,low,False
298,file_inclusion,https://vulnerableapp.net/register,POST,cmd,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,medium,3.7,low,True
299,xss,https://securitytesting.io/api/users,POST,search,<img src=x onerror=alert(1)>,Payload <img src=x onerror=alert(1)> reflected in response,critical,8.8,critical,False
300,file_inclusion,https://testsite.org/search,GET,exec,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,medium,4.1,medium,False
301,idor,https://example.com/admin,DELETE,account_id,376,Unauthorized access to resource account_id=376,info,0.7,info,False
302,file_inclusion,https://webapp.com/register,DELETE,cmd,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,medium,5.0,medium,True
303,sql_injection,https://example.com/login,GET,category_id,"' UNION SELECT 1,2,3 --","SQL error in response: You have an error in your SQL syntax near '' UNION SELECT 1,2,3 --'",medium,4.1,medium,False
304,idor,https://testsite.org/api/users,PUT,user_id,636,Unauthorized access to resource user_id=636,high,7.7,high,False
305,csrf,https://testsite.org/checkout,POST,,,No CSRF token found in form submission,low,1.3,info,False
306,sql_injection,https://webapp.com/checkout,POST,id,"' UNION SELECT 1,2,3 --","SQL error in response: You have an error in your SQL syntax near '' UNION SELECT 1,2,3 --'",info,0.7,info,True
307,xss,https://webapp.com/checkout,DELETE,name,<script>alert(1)</script>,Payload <script>alert(1)</script> reflected in response,high,6.8,high,False
308,idor,https://example.com/admin,DELETE,user_id,4,Unauthorized access to resource user_id=4,high,7.5,high,True
309,file_inclusion,https://example.com/settings,GET,cmd,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,medium,5.3,medium,False
310,idor,https://example.com/login,PUT,user_id,480,Unauthorized access to resource user_id=480,medium,5.4,medium,True
311,command_injection,https://vulnerableapp.net/login,POST,exec,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,low,3.4,low,False
312,file_inclusion,https://testsite.org/checkout,POST,url,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,medium,4.0,medium,False
313,sql_injection,https://securitytesting.io/user,DELETE,product_id,"' UNION SELECT 1,2,3 --","SQL error in response: You have an error in your SQL syntax near '' UNION SELECT 1,2,3 --'",medium,5.4,medium,False
314,idor,https://securitytesting.io/checkout,POST,account_id,468,Unauthorized access to resource account_id=468,high,6.5,high,False
315,idor,https://securitytesting.io/search,DELETE,user_id,264,Unauthorized access to resource user_id=264,medium,5.1,medium,False
316,file_inclusion,https://webapp.com/profile,PUT,file,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,high,7.4,high,False
317,file_inclusion,https://webapp.com/user,DELETE,file,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,medium,4.8,medium,False
318,command_injection,https://testsite.org/api/products,GET,path,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,high,8.1,critical,True
319,file_inclusion,https://testsite.org/api/products,DELETE,exec,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,medium,3.7,low,False
320,xss,https://securitytesting.io/api/products,POST,name,<script>alert(1)</script>,Payload <script>alert(1)</script> reflected in response,medium,4.2,medium,False
321,file_inclusion,https://webapp.com/api/products,POST,cmd,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,medium,6.3,high,False
322,sql_injection,https://testsite.org/login,GET,user_id,' OR 1=1 --,SQL error in response: You have an error in your SQL syntax near '' OR 1=1 --',info,1.7,info,False
323,sql_injection,https://vulnerableapp.net/api/users,DELETE,category_id,"' UNION SELECT 1,2,3 --","SQL error in response: You have an error in your SQL syntax near '' UNION SELECT 1,2,3 --'",medium,4.5,medium,True
324,csrf,https://example.com/api/users,GET,,,No CSRF token found in form submission,medium,5.4,medium,True
325,idor,https://vulnerableapp.net/login,POST,account_id,919,Unauthorized access to resource account_id=919,low,3.8,low,True
326,idor,https://securitytesting.io/product,GET,account_id,472,Unauthorized access to resource account_id=472,critical,8.8,critical,False
327,idor,https://example.com/api/products,DELETE,doc_id,552,Unauthorized access to resource doc_id=552,critical,9.1,critical,True
328,csrf,https://testsite.org/cart,PUT,,,No CSRF token found in form submission,info,1.1,info,False
329,xss,https://securitytesting.io/search,GET,name,<img src=x onerror=alert(1)>,Payload <img src=x onerror=alert(1)> reflected in response,critical,8.7,critical,False
330,xss,https://vulnerableapp.net/cart,DELETE,message,<script>alert(1)</script>,Payload <script>alert(1)</script> reflected in response,medium,3.6,low,False
331,csrf,https://vulnerableapp.net/profile,GET,,,No CSRF token found in form submission,low,3.6,low,False
332,csrf,https://vulnerableapp.net/search,GET,,,No CSRF token found in form submission,info,0.7,info,True
333,command_injection,https://vulnerableapp.net/user,DELETE,file,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,high,8.2,critical,False
334,command_injection,https://testsite.org/register,POST,path,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,medium,3.8,low,False
335,idor,https://example.com/admin,GET,doc_id,122,Unauthorized access to resource doc_id=122,medium,5.1,medium,False
336,file_inclusion,https://securitytesting.io/product,DELETE,url,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,low,2.5,low,False
337,csrf,https://vulnerableapp.net/checkout,GET,,,No CSRF token found in form submission,low,4.4,medium,False
338,csrf,https://testsite.org/cart,POST,,,No CSRF token found in form submission,medium,5.8,medium,False
339,csrf,https://vulnerableapp.net/settings,PUT,,,No CSRF token found in form submission,medium,4.1,medium,False
340,csrf,https://webapp.com/checkout,DELETE,,,No CSRF token found in form submission,critical,9.7,critical,False
341,idor,https://vulnerableapp.net/api/products,POST,user_id,91,Unauthorized access to resource user_id=91,high,7.6,high,True
342,csrf,https://example.com/search,PUT,,,No CSRF token found in form submission,medium,4.9,medium,False
343,command_injection,https://testsite.org/api/users,GET,file,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,high,7.6,high,True
344,file_inclusion,https://securitytesting.io/search,POST,exec,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,critical,9.1,critical,False
345,command_injection,https://vulnerableapp.net/user,POST,file,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,low,3.3,low,False
346,command_injection,https://testsite.org/checkout,POST,cmd,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,medium,5.4,medium,True
347,csrf,https://testsite.org/cart,POST,,,No CSRF token found in form submission,medium,5.8,medium,False
348,sql_injection,https://webapp.com/profile,PUT,id,"' UNION SELECT 1,2,3 --","SQL error in response: You have an error in your SQL syntax near '' UNION SELECT 1,2,3 --'",low,1.4,info,False
349,command_injection,https://webapp.com/settings,DELETE,exec,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,critical,9.5,critical,False
350,idor,https://webapp.com/checkout,DELETE,user_id,559,Unauthorized access to resource user_id=559,info,0.6,info,True
351,idor,https://vulnerableapp.net/register,DELETE,doc_id,351,Unauthorized access to resource doc_id=351,medium,6.2,high,False
352,csrf,https://vulnerableapp.net/api/users,POST,,,No CSRF token found in form submission,high,6.3,high,False
353,command_injection,https://example.com/user,DELETE,url,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,low,3.4,low,True
354,csrf,https://example.com/checkout,POST,,,No CSRF token found in form submission,info,2.2,low,False
355,csrf,https://securitytesting.io/register,PUT,,,No CSRF token found in form submission,critical,9.4,critical,False
356,csrf,https://webapp.com/cart,PUT,,,No CSRF token found in form submission,medium,4.5,medium,False
357,sql_injection,https://example.com/login,PUT,category_id,admin'--,SQL error in response: You have an error in your SQL syntax near 'admin'--',medium,6.5,high,False
358,file_inclusion,https://testsite.org/login,DELETE,url,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,high,5.9,medium,False
359,csrf,https://securitytesting.io/search,GET,,,No CSRF token found in form submission,critical,8.9,critical,True
360,file_inclusion,https://vulnerableapp.net/settings,POST,path,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,medium,4.1,medium,True
361,sql_injection,https://example.com/login,GET,category_id,1' OR '1'='1,SQL error in response: You have an error in your SQL syntax near '1' OR '1'='1',critical,9.9,critical,False
362,sql_injection,https://securitytesting.io/user,GET,id,admin'--,SQL error in response: You have an error in your SQL syntax near 'admin'--',info,0.4,info,False
363,command_injection,https://vulnerableapp.net/register,DELETE,path,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,medium,5.5,medium,False
364,csrf,https://webapp.com/register,GET,,,No CSRF token found in form submission,medium,6.6,high,False
365,command_injection,https://webapp.com/settings,DELETE,path,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,info,0.6,info,False
366,csrf,https://example.com/settings,DELETE,,,No CSRF token found in form submission,info,0.1,info,True
367,command_injection,https://vulnerableapp.net/user,DELETE,url,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,critical,8.0,critical,False
368,sql_injection,https://testsite.org/settings,POST,user_id,' OR 1=1 --,SQL error in response: You have an error in your SQL syntax near '' OR 1=1 --',info,0.4,info,False
369,idor,https://testsite.org/register,DELETE,doc_id,125,Unauthorized access to resource doc_id=125,medium,4.3,medium,False
370,csrf,https://securitytesting.io/cart,PUT,,,No CSRF token found in form submission,medium,3.8,low,True
371,command_injection,https://example.com/cart,PUT,cmd,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,medium,5.6,medium,False
372,sql_injection,https://vulnerableapp.net/api/products,GET,id,1' OR '1'='1,SQL error in response: You have an error in your SQL syntax near '1' OR '1'='1',info,0.1,info,False
373,idor,https://securitytesting.io/login,GET,file_id,846,Unauthorized access to resource file_id=846,medium,4.1,medium,False
374,idor,https://securitytesting.io/login,POST,user_id,417,Unauthorized access to resource user_id=417,medium,3.8,low,False
375,command_injection,https://vulnerableapp.net/settings,GET,url,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,medium,6.2,high,False
376,idor,https://securitytesting.io/cart,POST,file_id,325,Unauthorized access to resource file_id=325,medium,5.5,medium,False
377,command_injection,https://securitytesting.io/search,DELETE,file,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,medium,5.4,medium,True
378,sql_injection,https://securitytesting.io/user,PUT,order_id,' OR 1=1 --,SQL error in response: You have an error in your SQL syntax near '' OR 1=1 --',info,1.5,info,False
379,idor,https://securitytesting.io/settings,DELETE,account_id,426,Unauthorized access to resource account_id=426,low,3.2,low,False
380,idor,https://example.com/register,PUT,doc_id,243,Unauthorized access to resource doc_id=243,low,4.6,medium,False
381,csrf,https://securitytesting.io/product,GET,,,No CSRF token found in form submission,medium,4.5,medium,False
382,xss,https://webapp.com/search,DELETE,name,"""><script>alert(1)</script>","Payload ""><script>alert(1)</script> reflected in response",high,8.0,critical,False
383,file_inclusion,https://securitytesting.io/register,POST,exec,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,low,2.3,low,False
384,file_inclusion,https://vulnerableapp.net/register,PUT,url,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,medium,5.0,medium,False
385,csrf,https://example.com/login,PUT,,,No CSRF token found in form submission,medium,5.5,medium,False
386,sql_injection,https://securitytesting.io/login,PUT,product_id,1' OR '1'='1,SQL error in response: You have an error in your SQL syntax near '1' OR '1'='1',medium,5.4,medium,False
387,xss,https://vulnerableapp.net/profile,PUT,comment,<img src=x onerror=alert(1)>,Payload <img src=x onerror=alert(1)> reflected in response,high,7.6,high,False
388,sql_injection,https://securitytesting.io/checkout,PUT,order_id,admin'--,SQL error in response: You have an error in your SQL syntax near 'admin'--',medium,6.1,high,True
389,csrf,https://testsite.org/product,POST,,,No CSRF token found in form submission,medium,4.6,medium,False
390,csrf,https://example.com/profile,GET,,,No CSRF token found in form submission,medium,4.4,medium,True
391,command_injection,https://testsite.org/api/products,POST,file,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,critical,8.7,critical,True
392,xss,https://webapp.com/register,POST,q,<img src=x onerror=alert(1)>,Payload <img src=x onerror=alert(1)> reflected in response,info,1.0,info,False
393,xss,https://vulnerableapp.net/settings,GET,q,<script>alert(1)</script>,Payload <script>alert(1)</script> reflected in response,low,2.6,low,True
394,file_inclusion,https://vulnerableapp.net/product,POST,file,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,medium,4.7,medium,False
395,command_injection,https://example.com/profile,PUT,cmd,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,medium,6.0,high,False
396,file_inclusion,https://vulnerableapp.net/user,PUT,exec,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,low,1.9,info,False
397,xss,https://securitytesting.io/settings,PUT,comment,<script>alert(1)</script>,Payload <script>alert(1)</script> reflected in response,info,1.4,info,False
398,file_inclusion,https://webapp.com/cart,POST,url,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,critical,8.7,critical,False
399,idor,https://webapp.com/checkout,PUT,file_id,982,Unauthorized access to resource file_id=982,low,3.5,low,False
400,file_inclusion,https://webapp.com/cart,PUT,url,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,medium,3.7,low,True
401,sql_injection,https://testsite.org/api/users,GET,product_id,1' OR '1'='1,SQL error in response: You have an error in your SQL syntax near '1' OR '1'='1',low,2.4,low,False
402,idor,https://example.com/login,GET,doc_id,964,Unauthorized access to resource doc_id=964,medium,4.7,medium,True
403,idor,https://vulnerableapp.net/profile,PUT,account_id,460,Unauthorized access to resource account_id=460,info,2.3,low,True
404,idor,https://vulnerableapp.net/cart,POST,doc_id,580,Unauthorized access to resource doc_id=580,medium,4.4,medium,False
405,idor,https://example.com/settings,DELETE,account_id,800,Unauthorized access to resource account_id=800,critical,7.9,high,False
406,idor,https://example.com/register,GET,file_id,314,Unauthorized access to resource file_id=314,high,6.4,high,False
407,xss,https://example.com/admin,GET,message,<script>alert(1)</script>,Payload <script>alert(1)</script> reflected in response,info,0.1,info,False
408,file_inclusion,https://example.com/api/products,DELETE,file,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,high,8.2,critical,False
409,csrf,https://securitytesting.io/user,DELETE,,,No CSRF token found in form submission,medium,4.3,medium,True
410,csrf,https://securitytesting.io/settings,GET,,,No CSRF token found in form submission,critical,9.0,critical,False
411,csrf,https://vulnerableapp.net/api/products,GET,,,No CSRF token found in form submission,medium,3.7,low,False
412,csrf,https://vulnerableapp.net/search,DELETE,,,No CSRF token found in form submission,low,2.3,low,False
413,file_inclusion,https://securitytesting.io/profile,DELETE,file,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,high,7.3,high,False
414,csrf,https://example.com/cart,GET,,,No CSRF token found in form submission,medium,4.6,medium,False
415,sql_injection,https://securitytesting.io/login,POST,id,"' UNION SELECT 1,2,3 --","SQL error in response: You have an error in your SQL syntax near '' UNION SELECT 1,2,3 --'",medium,4.6,medium,False
416,csrf,https://securitytesting.io/product,PUT,,,No CSRF token found in form submission,medium,6.7,high,True
417,command_injection,https://example.com/admin,GET,exec,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,high,6.7,high,False
418,command_injection,https://testsite.org/checkout,POST,cmd,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,medium,4.4,medium,False
419,csrf,https://example.com/search,PUT,,,No CSRF token found in form submission,high,6.7,high,False
420,xss,https://vulnerableapp.net/cart,POST,message,"""><script>alert(1)</script>","Payload ""><script>alert(1)</script> reflected in response",high,6.5,high,False
421,sql_injection,https://testsite.org/register,POST,user_id,1' OR '1'='1,SQL error in response: You have an error in your SQL syntax near '1' OR '1'='1',medium,3.9,low,False
422,xss,https://securitytesting.io/product,PUT,name,<script>alert(1)</script>,Payload <script>alert(1)</script> reflected in response,high,5.6,medium,False
423,idor,https://testsite.org/product,GET,file_id,624,Unauthorized access to resource file_id=624,medium,3.4,low,False
424,command_injection,https://securitytesting.io/search,DELETE,url,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,low,2.2,low,False
425,csrf,https://example.com/product,POST,,,No CSRF token found in form submission,high,7.4,high,True
426,xss,https://webapp.com/settings,GET,q,<img src=x onerror=alert(1)>,Payload <img src=x onerror=alert(1)> reflected in response,low,3.0,low,False
427,file_inclusion,https://securitytesting.io/user,PUT,file,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,low,1.9,info,True
428,idor,https://example.com/cart,PUT,file_id,323,Unauthorized access to resource file_id=323,high,7.8,high,False
429,csrf,https://example.com/checkout,GET,,,No CSRF token found in form submission,critical,9.9,critical,False
430,idor,https://testsite.org/cart,DELETE,doc_id,636,Unauthorized access to resource doc_id=636,medium,4.9,medium,True
431,sql_injection,https://webapp.com/checkout,GET,order_id,admin'--,SQL error in response: You have an error in your SQL syntax near 'admin'--',medium,5.8,medium,False
432,file_inclusion,https://example.com/user,DELETE,url,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,medium,5.5,medium,False
433,csrf,https://testsite.org/login,GET,,,No CSRF token found in form submission,high,6.4,high,False
434,csrf,https://securitytesting.io/admin,DELETE,,,No CSRF token found in form submission,high,8.5,critical,False
435,xss,https://securitytesting.io/settings,PUT,search,<img src=x onerror=alert(1)>,Payload <img src=x onerror=alert(1)> reflected in response,medium,5.9,medium,False
436,xss,https://vulnerableapp.net/checkout,GET,name,<script>alert(1)</script>,Payload <script>alert(1)</script> reflected in response,info,0.6,info,False
437,idor,https://vulnerableapp.net/api/products,GET,doc_id,10,Unauthorized access to resource doc_id=10,high,6.3,high,False
438,command_injection,https://testsite.org/admin,GET,url,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,high,8.7,critical,True
